2024 City of Sydney Blitz
Sydney - 03/03/2024, 03/03/2024

 Cross Table at round 9 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7     8     9    |   User 
 59 Rupasinghe,Chanya              1639     NSW  4.0 | -B7   +W71  -B48  -W69  -B68  +W84  +B72  -W31  +B75   |    0.0 
 60 Heath,Charlie                  1598     NSW  4.0 | -B31  -W50  -B70  +W82  +B81  -W48  +B71  +W66  -B40   |    0.0 
 61 Mayer,Frederick                1525     NSW  4.0 | -B26  -W21  +B84  -W24  +B80  -W36  -B38  +W81  +F66   |    0.0 
 62 Luo,Nelson                     1546     NSW  4.0 | -W32  +B79  -W20  -B56  -W76  +B81  +W78  -B47  +W69   |    0.0 
 63 Su,Joey                        1447     NSW  3.5 | -W17  +B47  =W39  -B41  -W53  -B64  -W57  +B78  +W77   |    0.0 
 64 Vijayvergia,Vivaan                0     IND  3.5 | =B42  -W15  -B72  +W84  -B35  +W63  -B43  -W67  +B76   |    0.0 
 65 Beydoun,Ghassan                1618     NSW  3.5 | -W19  +B83  -W37  +B76  -B34  -W55  =BYE  +B70  -W43   |    0.0 
 66 Kordahi,Nicholas               1990     NSW  3.0 | +W78  -B28  =W41  +B53  =W39  -W7   -B54  -B60  -F61   |    0.0 
 67 Hemsley,Steven E               1685     NSW  3.0 | -B4   +W84  -B31  +W55  -B40  -W50  -W69  +B64  -W51   |    0.0 
 68 Miscenko,Dean                  1483     NSW  3.0 | -B13  -W43  +B71  -W46  +W59  -B56  -W47  -B75  +W79   |    0.0 
 69 Tsai,Bruce                     1439     NSW  3.0 | -B24  -W49  +B82  +B59  -W27  -W58  +B67  -W38  -B62   |    0.0 
 70 Thakur,Abhishek                1413      OS  3.0 | -W37  -B56  +W60  +B73  -B52  -W54  +B74  -W65  -B58   |    0.0 
 71 He,Timothy                     1275     NSW  3.0 | -W14  -B59  -W68  -B57  +W77  +B73  -W60  +B74  -W56   |    0.0 
 72 Willis,Lawson                     0     NSW  3.0 | -W53  =B77  +W64  -B39  -W33  =B76  -W59  -B73  +W78   |    0.0 
 73 Robinson,Andrew                1622     NSW  3.0 | -B2   +W81  -B40  -W70  -B55  -W71  +B82  +W72  -B57   |    0.0 
 74 Hughes,Aaron                   1613     NSW  3.0 | -B5   +W82  -B34  -W50  +B75  -B32  -W70  -W71  +B81   |    0.0 
 75 Huang,Christian                1468     NSW  3.0 | -B16  -W46  +B81  -W58  -W74  -B57  +B79  +W68  -W59   |    0.0 
 76 Chow,David                     1347     NSW  2.5 | -B48  +W54  -B52  -W65  +B62  =W72  -B35  -B53  -W64   |    0.0 
 77 Gandharva,Rahul                1573     NSW  2.5 | -B18  =W72  -B29  -W42  -B71  -W80  +B83  +W84  -B63   |    0.0 
 78 Scott,Daniel                   1363     NSW  2.0 | -B66  +W58  -B43  -W54  -B45  +W82  -B62  -W63  -B72   |    0.0 
 79 Willis,Mark                       0     NSW  2.0 | -B38  -W62  -B55  -W81  -B84  +B83  -W75  +W82  -B68   |    0.0 
 80 Riabov,Anton               (W)    0     RUS  2.0 | -W39  -W45  -B51  +B83  -W61  +B77   --    --    --    |    0.0 
 81 Ullah,Sami                     1219     NSW  2.0 | -W20  -B73  -W75  +B79  -W60  -W62  +B84  -B61  -W74   |    0.0 
 82 Slingo,Samuel                  1068     NSW  2.0 | -W27  -B74  -W69  -B60  +W83  -B78  -W73  -B79  +BYE   |    0.0 
 83 Tracey,Michael J               1238     NSW  2.0 | -B40  -W65  -B58  -W80  -B82  -W79  -W77  +BYE  +B84   |    0.0 
 84 Beydoun,Maan                   1362     NSW  1.0 | -W23  -B67  -W61  -B64  +W79  -B59  -W81  -B77  -W83   |    0.0 
 85 Tran,Huy Thong             (W) 1485     NSW  0.0 |  --    --    --    --    --    --    --    --    --    |    0.0 
 86 Clifford,Liam              (W)    0     NSW  0.0 | -F52   --    --    --    --    --    --    --    --    |    0.0 
