2024 NSW Rapid
 Cross Table at round 7 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  User  
 73 Parker,Trent                   1677     NSW  3.5 | -W28  -B58  +W122 +B136 +W107 =B34  -B27   |    0.0 
 74 Sivaraj,Avinav                 1676     NSW  3.5 | -B64  +W109 -B17  +W37  +B112 =W69  -B29   |    0.0 
 75 Wong,Benjamin                  1676     NSW  3.5 | =W38  -B63  +W107 +B132 -W4   +B123 -W28   |    0.0 
 76 Hemsley,Steven E               1638     NSW  3.5 | =B17  -W114 +B118 -W22  +B129 +W115 -B30   |    0.0 
 77 Bhatt,Netra Raj                1585     NEP  3.5 | +W39  -B28  -W67  -B18  =W118 +B136 +W117  |    0.0 
 78 Su,Joey                        1571     NSW  3.5 | -B30  =W22  -B128 +W106 +W140 =B85  =W63   |    0.0 
 79 Han,Cameron                    1557     NSW  3.5 | -B19  -W62  +B139 =W30  +B122 -W68  +B118  |    0.0 
 80 Gorantla,Karunya               1538     NSW  3.5 | -B68  +W111 -B42  -B40  +F146 +W128 =W65   |    0.0 
 81 Tee,Maximus Yuan Shuo             0     MAS  3.5 | +B118 +W82  -B1   +W69  -B14  -W31  =B66   |    0.0 
 82 Adeleye,Tosin                  1493     QLD  3.5 | +W107 -B81  +W146 =B123 -W28  -B70  +W119  |    0.0 
 83 Di,Elvin                       1440     NSW  3.5 | +B84  -W69  +B21  -W24  =B64  -W30  +B121  |    0.0 
 84 Barnstone,Alexander               0     AUS  3.5 | -W83  -B97  =B98  +W138 +B71  -W42  +B115  |    0.0 
 85 Arlandez Mana,Francesc         1768     ESP  3.0 | -B5   +W102 =B56  +W128 -B24  =W78  -B55   |    0.0 
 86 Kianrad,Ahmad                  1739     NSW  3.0 | -B1   =W129 +B105 =W60  -B21  +W103 -B56   |    0.0 
 87 Lewis,David                       0     NSW  3.0 | -W9   +B119 -W15  -B36  +W127 +B104 -W57   |    0.0 
 88 Morgan,Alistair                1669     NSW  3.0 | =B65  =W17  +B30  -W19  +B113 -W43  -B61   |    0.0 
 89 Yondon,Munkhbat                1645     MGL  3.0 | +W16  -B9   +W18  -B67  +W130 -B39  -W62   |    0.0 
 90 Shosho,David                   1593     NSW  3.0 | -B10  +W142 =B68  -W62  +B139 =W66  -B37   |    0.0 
